reviewer,rating,date,text,source,company,response
Wanji,5,2025-04-26,"I remember I have used Faras several times, and I promise I have never regretted it. I relocated to start a life when I moved out of my parents' house, and I never regretted it. The customer service was exemplary. The second most remarkable time was when my sister was being admitted to a boarding school. It was a great experience. The customer service is something I have always recalled anytime I think of getting a ride.",google_maps,faras,False
Lisa Opiyo,1,2025-04-24,Negative experience,google_maps,faras,False
Peter gatekeo,5,2025-04-22,Positive experience,google_maps,faras,False
Boniface Nguli,5,2025-04-08,Positive experience,google_maps,faras,False
Zipporah Musimbi,5,2025-04-01,Faras has the best captains compared to other apps,google_maps,faras,False
john nganga,1,2025-03-30,Negative experience,google_maps,faras,False
Evelyne Waithera,5,2025-02-28,Efficiency,google_maps,faras,False
THREE BROTHERS,1,2025-02-28,"A company that hijacks people’s events
You give them a meter they take a mile",google_maps,faras,False
Ali Khalid,1,2025-02-28,Disappointed,google_maps,faras,False
Ali Shariff,1,2025-02-28,Not a straight forward company.,google_maps,faras,False
Adam Musa,1,2025-02-28,Use it at your own risk. Would not recommend to my worst enemy.,google_maps,faras,False
James Otieno,4,2025-02-28,Positive experience,google_maps,faras,False
Bennz Chiwa,5,2025-02-28,Positive experience,google_maps,faras,False
DUNCAN WANJAU,5,2025-02-28,Positive experience,google_maps,faras,False
Barack Ouma,5,2025-02-28,Positive experience,google_maps,faras,False
Patrick Muthiani,5,2025-02-28,Positive experience,google_maps,faras,False
Nico Kingoo,5,2025-02-28,Positive experience,google_maps,faras,False
gotechkenya Mureithi,4,2025-02-28,Positive experience,google_maps,faras,False
Moses Mwangi,5,2025-02-28,Now iam in to serve with faras. its better,google_maps,faras,False
Tissian,5,2025-02-28,Positive experience,google_maps,faras,False
Ebube Isiuwe,1,2025-04-28,Negative experience,google_maps,uber,False
Samson Audi,5,2025-04-24,Positive experience,google_maps,uber,False
Dj Dtrix Kenya,5,2025-04-24,Positive experience,google_maps,uber,False
Ruth Favor,1,2025-04-22,Negative experience,google_maps,uber,False
Rube Kash,5,2025-04-15,Positive experience,google_maps,uber,False
JAMES MBUGUA,1,2025-04-08,Negative experience,google_maps,uber,False
Banaras Zadran,5,2025-04-08,Positive experience,google_maps,uber,False
Guilhem Cugnod,1,2025-03-30,"Be very careful, a lot of their boda drivers are complete scammers and Uber refuse to do anything about it or to refund. Shame on you for this poor quality service.",google_maps,uber,False
Onesmus Nyangena,5,2025-03-30,Positive experience,google_maps,uber,False
Kiplangat Tonui,5,2025-03-30,Positive experience,google_maps,uber,False
N P,1,2025-03-30,Best service if you want to wait 8 minutes when it says 2 and then wait again while guys fuel. Uber is getting increasingly annoying in Kenya.,google_maps,uber,False
John Maina,5,2025-03-30,Best receptionist and beautiful environment,google_maps,uber,False
Yuehua Yang,1,2025-03-30,"The boda driver wanted to charge me more and I didn’t agree so he left without ending the trip. I have to call him and report to the safety center to end the trip and he reported I didn’t pay him even I didn’t take his boda at all.
While the Uber costumer care has no response for almost 24 hrs and then resolved my issues with no more way appealing. I still need to pay 130Ksh for the ride.
Worst customer service ever and they don’t care about anything apart from counting money.",google_maps,uber,False
Anyika marenga,1,2025-03-30,I have proof that i paid for my trip but the driver decided to indicate that i hadnt. This is frustrating because each time i try to request for a ride i end up being forced to pay for a trip that i already paid for via mpesa. Support is unavailable.  I will just have to uninstall the app because i cant deal with unscrupulous drivers who want to take advantage and a business that does not support clients complaints.,google_maps,uber,False
RaMoS S,1,2025-02-28,"One pathetic app. Had a rider deliver food on Uber eats, paid him via mpesa (have the message to prove it) and, since the unscrupulous guy decided to keep the payment, I now have a pending payment that Uber will do nothing to resolve. Having lodged various complaints via their absolutely useless bot assistance and no resolution in sight and since they've decided to disable both, Uber ride AND eats until payment is submitted, I'm uninstalling the app as it is basically worthless having to fight for a mess up at their end.

Honestly, if I could give Uber negative stars, I would. So disappointing.",google_maps,uber,False
Mabonga Abraham,4,2025-02-28,Positive experience,google_maps,uber,False
Rajab Kaya,5,2025-01-29,Positive experience,google_maps,uber,False
Kevin Oduor.,5,2025-01-29,Positive experience,google_maps,uber,False
Rennis Napoleon,4,2025-01-29,"Ample parking
Great service",google_maps,uber,False
Barnister,5,2025-01-29,Positive experience,google_maps,uber,False
Zhui,1,2024-12-30,"I didn't take the bus, but the driver didn't finish the order, but charged me normally, put money into Uner, and didn't respond. It was really bad.",google_maps,uber,False
Johnson Okiroh,5,2024-11-30,Positive experience,google_maps,uber,False
Jacob Kogo,5,2024-11-30,Positive experience,google_maps,uber,False
Clinton Momanyi,5,2024-10-31,Positive experience,google_maps,uber,False
Audrey Kate,5,2024-10-01,Hello Uber I’m humbly requesting for a helmet coz I really use Uber boda a lot I will really appreciate my own helmet,google_maps,uber,False
paul moturi,1,2024-10-01,Difficult to get servicers. Rogue security need to improve,google_maps,uber,False
構うジョセフ（安德烈）,4,2024-10-01,"Customer service was good, professional courtesy was also good. The only reason its 4 stars rather than 5 is coz sometimes they need to work on been strict on people following the que.  But all in all..Service was above par",google_maps,uber,False
george omolo,1,2024-10-01,Negative experience,google_maps,uber,False
Aryiana Mahmud,1,2024-10-01,Very useless,google_maps,uber,False
Odd Biased,5,2024-10-01,Was good,google_maps,uber,False
Mr Gabriel,5,2024-09-01,Positive experience,google_maps,uber,False
Anton Barnard,1,2024-09-01,"We were a group of 8 people on a business trip to Nairobi. We ordered 2 Ubers outside the Chameleon Craft Beer restaurant in Nairobi. Immediately when the Ubers arrived, the fare suddenly doubled and they demanded cash, because they saw we were foreigners. Really, really poor service, Uber, by greedy, gouging drivers.",google_maps,uber,False
Elkana Kiprop Kisang,5,2024-08-02,I have no experience but I have the skills,google_maps,uber,False
Korino Classic,5,2024-08-02,Very professional and friendly services,google_maps,uber,False
Mariam Kamau,1,2024-07-03,Negative experience,google_maps,uber,False
emmanuel michael,5,2024-06-03,Positive experience,google_maps,uber,False
Chris Smith,5,2024-06-03,They put me to the front of the line being an Uber driver on vacation. I left my wallet in an Uber yesterday afternoon and wasn't able to contact the driver. The wallet was found under the seat and will return it to me later today.,google_maps,uber,False
Esther Kamote,1,2024-06-03,kindly post your contacts online,google_maps,uber,False
Paul Munene,5,2024-06-03,Positive experience,google_maps,uber,False
JOSEPHINE OOMA,3,2024-06-03,Neutral  experience,google_maps,uber,False
johnny murima,5,2025-04-15,Positive experience,google_maps,little,False
Alexander Waweru,4,2025-04-15,"Ample parking, good ambience",google_maps,little,False
Onesmus Nyangena,5,2025-04-08,Positive experience,google_maps,little,False
Emmanuel Shikuku,4,2025-04-08,Positive experience,google_maps,little,False
Fredrick Omini,5,2025-03-30,Positive experience,google_maps,little,False
Kamunya Kiiru,5,2025-03-30,Positive experience,google_maps,little,False
Peter Gikonyo,5,2025-03-30,Positive experience,google_maps,little,False
Hackings Akala,5,2025-03-30,"Best taxi application, pays drivers well",google_maps,little,False
Frank Temu,5,2025-03-30,Positive experience,google_maps,little,False
Njoroge Njosh,5,2025-03-30,Positive experience,google_maps,little,False
Caleb Andayi,5,2025-02-28,Good services,google_maps,little,False
Fredrick Too,5,2025-02-28,Positive experience,google_maps,little,False
frank omwoyo,5,2025-02-28,Positive experience,google_maps,little,False
Tissian,5,2025-02-28,Positive experience,google_maps,little,False
Andrew Kamau,5,2025-01-29,Thanks for your excellent service.,google_maps,little,False
maish John,5,2025-01-29,Positive experience,google_maps,little,False
Muvea Bonface,5,2025-01-29,Positive experience,google_maps,little,False
KELLY KIPKOECH,5,2025-01-29,Positive experience,google_maps,little,False
Lizzie Chege,5,2025-01-29,Positive experience,google_maps,little,False
Elizabeth Mwaura,5,2024-12-30,Positive experience,google_maps,little,False
Steve Maina,5,2024-12-30,Positive experience,google_maps,little,False
Moses kamakya,5,2024-12-30,Positive experience,google_maps,little,False
joseph gathiga,5,2024-12-30,Positive experience,google_maps,little,False
Johnson Murithi,5,2024-12-30,The No. 1 Rider and Driver's app in Kenya!,google_maps,little,False
victor nasera,3,2024-12-30,Neutral  experience,google_maps,little,False
Antony Kamau,5,2024-12-30,Positive experience,google_maps,little,False
Wambui Mwangi,1,2024-11-30,"Why would you have a customer care number that you aren't picking? Customers are stranded to get a code and your driver can't move and we are calling you, and all you do is hanging up on us!! What is the meaning of customer care if it's not functional!!!",google_maps,little,True
Ustadh Balozi,5,2024-11-30,Positive experience,google_maps,little,False
