,reviewer,rating,date,text,source,company,response,overall_sentiment,overall_emotion,aspect_analysis,churn_risk
665,flx_mug,5,2023-09-02,Perfectly okay,app_store,bolt,False,positive,gratitude,{'accuracy': 'neutral'},low
506,maina3560,3,2022-11-03,Crashes when I try to pin point my home address,app_store,little,False,negative,disappointment,{},low
272,Mtishibi,5,2023-10-05,Best driver  ever,app_store,uber,False,positive,gratitude,{'driver': 'positive'},low
538,paachylola,1,2020-11-26,"I was thoroughly embarrassed at the food court while trying to redeem points from my food wallet it just didn’t work even after sending a mail to customer care and they promised to fix the error it’s been over a month yet nothing has changed 
I can’t even load points onto my wallet this is totally unacceptable  they really should have a rethink about this business!",app_store,little,False,negative,annoyance,{'service': 'negative'},low
526,Nikitarose-Flo,5,2021-03-07,I like the app outlook. What I don’t like is how the app keeps closing itself when am booking a cab it’s just an inconvenience. Hope u can improve that,app_store,little,False,negative,disappointment,{'app': 'negative'},low
581,shelly 254,1,2019-07-26,"-It does not have the drivers contacts so that you can call them incase of anything.
-You can’t cancel once you requested a trip, this sucks when the driver is lost and you can’t call them cause there’s no contact info.
-To make it worse, with all these, the charges keep running 
- horrible app on an iPhone rather you use uber",app_store,little,False,negative,annoyance,"{'app': 'negative', 'safety': 'negative', 'service': 'negative'}",high
878,cou1991,5,2020-12-13,Great drive,app_store,bolt,False,positive,gratitude,{'driver': 'positive'},low
215,patricia 254,1,2024-07-12,"Some of the drivers are rude, one of them insisted on driving on the wrong side of the road. After confrontation ,he left me on a dangerous roadside and still demanding  more pay.  I regret this particular driver. Had a Very bad experience.",app_store,uber,False,negative,disappointment,"{'driver': 'negative', 'safety': 'negative'}",low
361,masterkenns,4,2020-11-03,Good app. Kindly integrate more payment options where customers can have wallets within the app from where rides charges can be directly deducted.,app_store,uber,False,positive,gratitude,"{'app': 'positive', 'payment': 'positive'}",low
728,sereyian,1,2022-04-12,How is someone requesting a ride using my number??????? How !!!!!!,app_store,bolt,False,negative,curiosity,{},low
470,Siomchache,1,2015-11-07,Ridiculous new rates up by almost 60%! No longer competitive for me. I'm out.,app_store,uber,False,negative,annoyance,"{'price': 'negative', 'service': 'negative'}",low
857,His Kereaness,5,2021-05-15,Wilson we t out of his way and accepted my unexpected change of route without compaints. He is a gentleman. Safety is his first priority.,app_store,bolt,False,positive,gratitude,"{'safety': 'positive', 'service': 'positive', 'driver': 'positive', 'app': 'positive'}",low
698,kanzi 019,5,2022-12-16,"Was overcharged for a trip above the amount on the app…
How can I get my refund",app_store,bolt,False,negative,curiosity,"{'price': 'negative', 'app': 'neutral'}",low
627,Huud DMZ,1,2024-12-13,Harassing drivers,app_store,bolt,False,negative,neutral,{'driver': 'negative'},low
