rating,review,userName,title,date,company
5,Top,Ahmed Ainte,Student,2025-04-11 00:04:21-07:00,faras
1,They are very horrible. Their drivers ask for extra money and they take ages to find a driver for you. Very disappointing,Yacniii,R,2025-04-04 02:57:34-07:00,faras
5,Very good,Bikshow,Good,2025-02-15 07:25:33-07:00,faras
1,"If you’re in Mombasa , a distance coating 590 they will ask you for 800 kshs . Or more",Jkm 97,Bad experience. Extortion,2025-02-09 14:21:06-07:00,faras
1,The app shows prices different from what it shows the driver and the client.Stop scamming your customers and be honest!,Masika3664,SCAMMERS,2024-12-14 06:34:32-07:00,faras
1,Driver wanted to attack me because I received a new user discount! Never again,Bathlomeow,Abusive drivers,2024-12-03 12:57:42-07:00,faras
1,isn’t allowing me to change payment method,sakami2000,poor,2024-11-16 01:55:37-07:00,faras
1,Already had the app but I had to uninstall it. Ads everywhere and I already have the app installed. Stop ad spamming. Disgusting,Charlene Ruto,Ads everywhere,2024-10-30 04:04:35-07:00,faras
1,Worst experience ever. KDK 318 M by BOB avoid by all means and the Entire FARAS help team,Fareh1,ATTEMTED ROBBERY AND ASSAULT,2024-10-16 11:57:37-07:00,faras
1,"Charged me 200% the initial price, and failed to reimburse.",Rahime96,Outrageous Rates,2024-09-10 08:18:23-07:00,faras
1,This app is the worst ever. First they will give you an estimated fare then double it at the end of the trip and remember that isn’t during rush hour. Download it at your own risk.,Kiptures,Worst App Ever,2024-07-27 03:13:01-07:00,faras
1,The worst’s ever,123hussein,They add extra without sitting at the traffic,2024-07-14 22:08:18-07:00,faras
1,"Your brand ambassador is a self proclaimed rapist and pedophile 
Still no action from you!!
We are not safe as women riding with you",lauryn wakesho,Not safe for female clients and children,2024-07-10 06:15:01-07:00,faras
1,Most of the drivers don’t know the location keep wasting customers time and they are rude . I am annoyed by the app!,valopy,Zero stars,2024-06-24 03:35:48-07:00,faras
1,I dont understand what this app is for if every ride you request riders complain the payment is too little …si mdelete hii app bas cause 🚮🚮,Note to santa,🚮,2024-06-06 10:11:41-07:00,faras
5,Why,Ngusya,How can I get my bonus money from your account to my M-PESA?,2024-05-05 11:35:51-07:00,faras
1,I am not receiving a code ?? This is the second day,Ummmiesese,Check on your service,2024-04-15 14:14:49-07:00,faras
5,My best,doric shiks,My best,2024-04-06 04:44:04-07:00,faras
5,Amazing app and service,Kijana Handsome,Efficient and effective,2024-04-02 02:27:55-07:00,faras
1,"I recently had the displeasure of dealing with Faras, and I must say, their customer service is nothing short of a nightmare. From the neglectful attitude to downright rudeness, my experience left me thoroughly disappointed.

Attempting to seek assistance from Faras felt like talking to a brick wall. It’s disheartening when a company neglects its customers, leaving them stranded with unresolved issues. Their lack of responsiveness and indifference to customer concerns was truly infuriating.",Ray montez,Terribble experience! poor services!,2024-03-08 06:02:48-07:00,faras
5,Best taxi🫡,Ayub MH,Faras,2024-02-26 04:32:27-07:00,faras
5,"This guys are literally the best they literally had a driver when no other cab company had, plus their drivers are so behaved and patient,
After trying them yesterday night I deleted all other cab apps Frl
Thanks Faras",Koko gunn,BEST RIDE APP,2024-02-23 21:41:54-07:00,faras
1,Scam,C sync du n on,Scam,2024-02-13 02:22:15-07:00,faras
1,A driver stole from me I keep calling he’s blocked me …Faras people I’m still waiting for your assistance with this Ruto’s economy it’s not easy please 450 balance is a lot of money for a driver to refuse with it and … Shadrack(the driver) May God punish you nkt,Krook001,DRIVER WHO IS A THIEF,2024-02-09 03:38:34-07:00,faras
3,I love the app and the drivers are great… but why can’t I withdraw the Faras miles… been saving them for a while but turns out I can’t withdraw,Ghost_Xhari,ABC,2024-01-30 23:19:00-07:00,faras
5,Best of all taxing applications,Muhammad A. M Ali,M,2023-11-10 01:48:32-07:00,faras
1,Why can’t I withdraw my faras mile? Fix up guys,-theeeeeeee,Withdraw faras mile not working,2023-11-04 21:14:31-07:00,faras
5,W,Guss derr,Faras,2023-10-14 10:14:52-07:00,faras
5,"Dont use any other app, this is legit the best app for ride sharing, its safe reliable and most importantly affordable!",Siman123456,Amazing app,2023-09-26 14:18:15-07:00,faras
1,You will not get the KSH 200 they promised.,NoNicknyme,Scam,2023-09-17 05:51:22-07:00,faras
5,Superb,Farasi12,What an app,2023-08-02 07:07:40-07:00,faras
5,"Great app for travelers and drivers, it let’s you earn something called FarasMiles every time you take a trip which you can accumulate for free rides or you can convert to real money that you can withdraw and buy airtime.",BuddahArt,Great app,2023-07-10 10:52:58-07:00,faras
5,"Nice discounts, the drivers are so reliable. I love it!",faiwendy67888990,Best app ever,2023-06-19 05:16:22-07:00,faras
1,The app is so laggy  has a lot  of bugs cmon you can do better cant show maps very well cant get miles after using my referral some of the things you cant even scroll,imechemka,Scam,2023-06-16 05:15:10-07:00,faras
1,"The app is basically scum you guys still don’t understand it but you will soon 🔜. 
I prefer matatu over this app bolt also became worse a double price out of nowhere SMH 🤦🏽‍♂️",TARIQ1.,SCUM,2023-06-13 02:59:41-07:00,faras
1,Had an issue where I was given 200 for first ride but on arrival the price was different and getting In touch with support to refund was hard.,K.M.M0188,Prices not real,2023-06-02 05:19:24-07:00,faras
1,Scammers of the highest level….you cannot transfer your miles nor should get miles after referring someone,Mokili02,Scammers,2023-06-01 08:08:38-07:00,faras
5,The app is good though I can't get my faras miles after reffering to someone else 🥺,brown teddy@2543,Faras miles,2023-04-20 08:41:48-07:00,faras
5,Bravo,ngoristar,Awesome,2025-04-26 07:11:39-07:00,uber
