reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,company
2a5a960c-6513-4417-afc5-454899ca09df,justine mbwilo,https://play-lh.googleusercontent.com/a-/ALV-UjX475EFEOUcIhiSNnqaAnBu5t_IOOUDZqLUbHUtnYG9C5jMd0YS,You good in moto bikes.but for car request your always busy. you have failed to fulfill the demands of your customers.,1,0,1.0.51,2025-04-28 07:50:47,,,1.0.51,faras
d20bf972-1089-42f2-aba1-2ce3f202edab,Lenard Mbonile,https://play-lh.googleusercontent.com/a/ACg8ocJrjC6GbFCocYBIdWscjvUZG3YpzkGNpZalV-ydn0eP2TmQmg=mo,kawe,5,0,,2025-04-27 22:24:09,,,,faras
5d36662b-f583-4645-a6fb-b6a5092ceab7,BIBLICAL TRUTH INTERNATIONAL COLLEGE,https://play-lh.googleusercontent.com/a-/ALV-UjX8-OR3gDUMqHHv47F9rVrbS6wGlVTQjexRh8SSWTHbWqa16Mk,it's nice App I appreciate all the management,5,0,,2025-04-27 19:54:50,,,,faras
9c975bee-d0bc-4817-8971-339137dfee89,Rose Nonold,https://play-lh.googleusercontent.com/a-/ALV-UjV68_bXVFQl_nHWVFNxDohjx4D8dQNbOFp-7jhLhelg2tXUIujy,"affordable prices, this is really good.",5,0,1.0.51,2025-04-24 20:44:13,,,1.0.51,faras
674ffc55-5a5a-49a1-8267-c4493838b456,Glory Beda,https://play-lh.googleusercontent.com/a/ACg8ocI_3NIn8VIsFz0HtX-qyZhNg_idcavmhEMnUT7VB2lFDo3NZg=mo,worst app ever. every driver I tried to book either cancelled on me or went into and opposite direction. they don't even pick their phones. WORST WORST WORST APPLICATION EVER!!!!,1,0,,2025-04-24 20:11:59,,,,faras
142577b4-15dd-49d7-9396-9a1e03d55ed2,Innocent Nsabimana,https://play-lh.googleusercontent.com/a/ACg8ocIK94Vq-R6yglZ5G69dBy1Cznk_cICyQzCzH-LGcBXo6DSa-w=mo,very good,5,0,1.0.51,2025-04-24 17:48:45,,,1.0.51,faras
2c273d87-98e1-4727-a860-504335956d63,oscar papa,https://play-lh.googleusercontent.com/a/ACg8ocItCqcfJA3wbQF6vSrjB9s6qaY8c--ZaSr5eSKxPDQpHGgK-vQs=mo,fair,3,0,,2025-04-23 01:32:02,,,,faras
bd73ea08-d266-41cc-a394-0779ae601fb0,Devis ah,https://play-lh.googleusercontent.com/a-/ALV-UjWMwySW1kCBF5rMzJEfIhNiMG98CSNXazVVQbdizhbX_oN_fpDm,"great app for travel, thank you for saving me from unfair costs",5,2,1.0.51,2025-04-22 11:26:21,,,1.0.51,faras
617b5474-b153-4e1f-8dcd-9115f0b9bd94,Reign Lamu,https://play-lh.googleusercontent.com/a-/ALV-UjWgLvWAushGRs0hKCusXihCMdN-QE1kmUkQxlGFYXhDlsCGqMA,"i have tried this app many times but i realised its drivers, riders are very disrespectful, rude unprofessional and use very old cars. seat belts don't work i think faras team needs to examine cars before allowing them join their circle. its never comfortable riding with Faras!",1,0,,2025-04-21 19:49:01,,,,faras
5516bc08-597f-4b58-bb07-013d347698e1,Peter Odhiambo,https://play-lh.googleusercontent.com/a-/ALV-UjVxe-T-CJOCWxhK35lz7iCOy4-R4GwPq4Wq0p1EbpqgmU_uA2I_,how can i be your Rider?,5,0,1.0.51,2025-04-21 10:07:20,,,1.0.51,faras
